"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"47","Hybosida dauban",2443045,"CR","B1ab(iii)+2ab(iii)","2","5",NA,2,4,5,1,9,180,47,180,NA
"48","Hybosida lucida",2443052,"CR","B1ab(iii)","20","20",NA,2,4,5,1,9,180,48,180,NA
"49","Steriphopus lacertosus",2443059,"CR","B1ab(iii)","20","20",NA,2,4,5,1,9,180,49,180,NA
"50","Spermophorides lascars",2443087,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,50,180,NA
"51","Prodida stella",2443094,"CR","B1ab(iii)+2ab(iii)","0.2","0.2",NA,2,4,5,1,9,180,51,180,NA
"52","Hasarius mahensis",2443150,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,52,180,NA
"53","Sadies trifasciata",2443234,"EN","B1ab(iii)+2ab(iii)","10","20",NA,2,2,5,2,9,180,53,90,NA
"54","Patu silho",2443311,"CR","B1ab(iii)+2ab(iii)","0.5","0.5","150000",2,4,5,1,9,180,54,180,NA
"55","Seychellia lodoiceae",2443318,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,55,180,NA
"56","Moneta coercervea",2458770,"CR","B2ab(iii)","1","300",NA,2,4,5,1,9,180,56,180,NA
"57","Sesato setosa",2458819,"CR","B1ab(iii)","15","20","62500",2,4,5,1,9,180,57,180,NA
"58","Andasta siltte",2458875,"CR","B1ab(iii)+2ab(iii)","5","10",NA,2,4,5,1,9,180,58,180,NA
"59","Zoma zoma",2458882,"CR","B1ab(iii)+2ab(iii)","5","10",NA,2,4,5,1,9,180,59,180,NA
"60","Voraptus tenellus",2458896,"CR","B2ab(iii)","5","300",NA,2,4,5,1,9,180,60,180,NA
"61","Afrogarypus seychellesensis",2458938,"CR","B1ab(iii)","38","38",NA,2,4,5,1,9,180,61,180,NA
"62","Mecistocephalus sechellarum",2475385,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","1","1",NA,2,4,5,1,9,180,62,180,NA
"63","Mecistocephalus cyclops",2475392,"CR","B1ab(iii)","10","20",NA,2,4,5,1,9,180,63,180,NA
"64","Ityphilus melanostigmus",2475399,"CR","B1ab(iii)","50","50",NA,2,4,5,1,9,180,64,180,NA
"65","Diglossosternoides curiosus",2475481,"CR","B1ab(iii)","10","10",NA,2,4,5,1,9,180,65,180,NA
"66","Balta crassivenosa",2593424,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","5","5",NA,2,4,5,1,9,180,66,180,NA
"67","Delosia ornata",2593559,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","1","1",NA,2,4,5,1,9,180,67,180,NA
"68","Hololeptoblatta pandanicola",2594073,"CR","B1ab(i,ii)+2ab(i,ii)","5","5",NA,2,4,5,1,9,180,68,180,NA
"69","Theganopteryx scotti",2595164,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","3","3",NA,2,4,5,1,9,180,69,180,NA
"70","Procryptotermes fryeri",2597323,"CR","B1ab(i,ii)+2ab(i,ii)","1","10",NA,2,4,5,1,9,180,70,180,NA
"71","Antisolabis seychellensis",2598109,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","5","5",NA,2,4,5,1,9,180,71,180,NA
"72","Theganopteryx liturata",2598372,"CR","B1ab(i,ii)+2ab(i,ii)","5","50",NA,2,4,5,1,9,180,72,180,NA
"73","Seychellesia nitidula",2598677,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","7","7",NA,2,4,5,1,9,180,73,180,NA
"74","Chaetolabia fryeri",2599201,"CR","B2ab(i,ii,iii)","5","300",NA,2,4,5,1,9,180,74,180,NA
"75","Chaetospania gardineri",2599330,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","5","5",NA,2,4,5,1,9,180,75,180,NA
"76","Holocompsa pusilla",2599578,"CR","B1ab(iii)+2ab(iii)","5","5",NA,2,4,5,1,9,180,76,180,NA
"77","Procytettix fusiformis",2600111,"CR","B1ab(i,ii,iii)+2ab(i,ii,iii)","1","1",NA,2,4,5,1,9,180,77,180,NA
