"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"206","Australobius abbreviatus",2475420,"EN","B1ab(iii)+2ab(iii)","50","600",NA,2,2,5,1,5,50,206,50,NA
"207","Miriamrothschildia aldabrensis",2594335,"EN","B1ab(i,ii)+2ab(i,ii)","154","154",NA,2,2,5,1,5,50,207,50,NA
"208","Seychellesia patellifera",2594723,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","170","300",NA,2,2,5,1,5,50,208,50,NA
"209","Nocticola gerlachi",2595807,"EN","B1ab(i,ii)+2ab(i,ii)","10","800",NA,2,2,5,1,5,50,209,50,NA
"210","Phaeogryllus fuscus",2596266,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","86","300",NA,2,2,5,1,5,50,210,50,NA
"211","Amphinotus pupulus",2597211,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","10","300",NA,2,2,5,1,5,50,211,50,NA
"212","Ectatoderus nigriceps",2597601,"EN","B1ab(i,ii)+2ab(i,ii)","154","154",NA,2,2,5,1,5,50,212,50,NA
"213","Amphinotus nymphula",2597845,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","10","300",NA,2,2,5,1,5,50,213,50,NA
"214","Theganopteryx lunulata",2598806,"EN","B1ab(i,ii)+2ab(i,ii)","31","900",NA,2,2,5,1,5,50,214,50,NA
"215","Graffaea seychellensis",2599070,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","86","900",NA,2,2,5,1,5,50,215,50,NA
"216","Metioche bolivari",2599837,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","20","300",NA,2,2,5,1,5,50,216,50,NA
"217","Procytettix thalassanax",2600233,"EN","B1ab(i,ii)+2ab(i,ii)","200","200",NA,2,2,5,1,5,50,217,50,NA
"218","Zarceus major",2600488,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","180","800",NA,2,2,5,1,5,50,218,50,NA
"219","Pternoscirtus aldabrae",2600609,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","167","2000",NA,2,2,5,1,5,50,219,50,NA
"220","Enoplotettix gardineri",2600841,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","210","900",NA,2,2,5,1,5,50,220,50,NA
"221","Orthoxiphus nigrifrons",2601620,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","173","300",NA,2,2,5,1,5,50,221,50,NA
"222","Scottiola salticiformis",2601909,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","172","300",NA,2,2,5,1,5,50,222,50,NA
"223","Miriamrothschildia mahensis",2602294,"EN","B1ab(i,ii)+2ab(i,ii)","42","300",NA,2,2,5,1,5,50,223,50,NA
"224","Seychellesia longicercata",2603039,"EN","B1ab(i,ii,iii)+2ab(i,ii,iii)","200","300",NA,2,2,5,1,5,50,224,50,NA
"225","Sechelliosoma forcipatum",2706145,"EN","B1ab(iii)+2ab(iii)","50","600","250000",2,2,5,1,5,50,225,50,NA
"226","Sternothyrus braueri",2706730,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,226,50,NA
"227","Eucarlia urophora",2706772,"EN","B2ab(iii)","50","8000",NA,2,2,5,1,5,50,227,50,NA
"228","Spiromanes sechellarum",2706793,"EN","B1ab(iii)+2ab(iii)","10","700",NA,2,2,5,1,5,50,228,50,NA
"229","Spiromanes braueri",2706800,"EN","B1ab(iii)+2ab(iii)","20","300",NA,2,2,5,1,5,50,229,50,NA
"230","Careoradula perelegans",6458448,"EN","B1ab(iii)+2ab(iii)","19","300","29000",2,2,5,1,5,50,230,50,NA
"231","Glabrennea gardineri",6459630,"EN","B1ab(iii)+2ab(iii)","25","300","877000",2,2,5,1,5,50,231,50,NA
"232","Quickia aldabrensis",6461161,"EN","B2ab(iii)","160","600",NA,2,2,5,1,5,50,232,50,NA
"233","Elaphoglossum hornei",9115012,"EN","B1ab(iii)+2ab(iii)","20","1000",NA,2,2,5,1,5,50,233,50,NA
"234","Polyscias sechellarum",12588600,"VU","B1ab(iii)+2ab(iii)","110","110",NA,2,1,5,2,5,50,234,25,NA
"235","Seychellonema gerlachi",15280805,"EN","B1ab(iii)c(iv)+2ab(iii)c(iv)","15","300",NA,2,2,5,1,5,50,235,50,NA
"236","Biantes albimanus",21512957,"EN","B1ab(iii)+2ab(iii)","10","500",NA,2,2,5,1,5,50,236,50,NA
"237","Biantes minimus",21513475,"EN","B1ab(iii)+2ab(iii)","80","100",NA,2,2,5,1,5,50,237,50,NA
"238","Ibalonius bimaculatus",21576772,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,238,50,NA
"239","Mitraceras pulchra",21579811,"EN","B1ab(iii)+2ab(iii)","10","300",NA,2,2,5,1,5,50,239,50,NA
"240","Samoa sechellana",21579856,"EN","B1ab(iii)+2ab(iii)","10","500",NA,2,2,5,1,5,50,240,50,NA
"241","Mops pusillus",22017997,"VU","D2",NA,"67799",NA,3,1,3.33333333333333,2,7,46.6666666666667,241,23.3333333333333,NA
"242","Nesowithius seychellesensis",2458980,"VU","B1ab(iii)+2ab(iii)","38","38",NA,2,1,5,1,9,45,242,45,NA
"243","Pachnodus praslinus",6451541,"VU","B1ab(iii)+2ab(iii); D2","7","7","7000",2,1,5,1,9,45,243,45,NA
"244","Pachnodus lionneti",6453790,"VU","B1ab(iii)+2ab(iii); D2","17","17","89700",2,1,5,1,9,45,244,45,NA
"245","Priodiscus serratus",6460392,"VU","B1ab(iii)+2ab(iii); D2","14","14","1000000",2,1,5,1,9,45,245,45,NA
"246","Priodiscus costatus",6460575,"VU","B1ab(iii)+2ab(iii); D2","8","600","8000",2,1,5,1,9,45,246,45,NA
"247","Silhouettia silhouettae",6460773,"VU","B1ab(iii)+2ab(iii); D2","18","18","1700000",2,1,5,1,9,45,247,45,NA
"248","Nesokaliella subturritula",6461341,"VU","B1ab(iii)+2ab(iii); D2","8","8","8000",2,1,5,1,9,45,248,45,NA
"249","Nesokaliella intermedia",6461549,"VU","B1ab(iii)+2ab(iii); D2","3","3","44000",2,1,5,1,9,45,249,45,NA
"250","Nesokaliella minuta",6461745,"VU","B1ab(iii)+2ab(iii); D2","5","5","500000",2,1,5,1,9,45,250,45,NA
"251","Allophylus sechellensis",8644727,"VU","B1ab(iii)+2ab(iii)","80-100","80-100",NA,2,1,5,1,9,45,251,45,NA
"252","Punctum seychellarum",6456447,"VU","B1ab(iii)+2ab(iii); D2","25","300","3000000",2,1,5,1,7,35,252,35,NA
"253","Malaxis seychellarum",8860249,"VU","B1ab(iii)+2ab(iii); D2","10","1000",NA,2,1,5,1,7,35,253,35,NA
"254","Protarum sechellarum",8860884,"VU","B1ab(iii)+2ab(iii); D2","20","1625",NA,2,1,5,1,7,35,254,35,NA
"255","Grammitis sechellarum",9115304,"VU","B1ab(iii)+2ab(iii); D2","20","1000",NA,2,1,5,1,7,35,255,35,NA
"256","Pocillopora indiania",165986859,"EN","A3ce",NA,NA,NA,8,2,1.25,6,2,30,256,15,NA
"257","Centrophorus isodon",267274929,"EN","A2d",NA,NA,NA,8,2,1.25,6,2,30,257,15,NA
"258","Bardala labarda",2458742,"EN","B2ab(iii)","50","8000",NA,3,2,3.33333333333333,1,4,26.6666666666667,258,26.6666666666667,NA
"259","Nanume naneum",2458777,"EN","B2ab(iii)","50","8000",NA,3,2,3.33333333333333,1,4,26.6666666666667,259,26.6666666666667,NA
"260","Phycosoma menustya",2458784,"EN","B2ab(iii)","50","8000",NA,3,2,3.33333333333333,1,4,26.6666666666667,260,26.6666666666667,NA
"261","Australobius inflatitarsis",2475413,"EN","B2ab(iii)","150","8000",NA,3,2,3.33333333333333,1,4,26.6666666666667,261,26.6666666666667,NA
"262","Ectatoderus aldabrae",2596028,"EN","B1ab(i,ii)+2ab(i,ii)","250","1500",NA,3,2,3.33333333333333,1,4,26.6666666666667,262,26.6666666666667,NA
"263","Ornebius stenus",2597482,"EN","B1ab(i,ii)+2ab(i,ii)","15","500",NA,3,2,3.33333333333333,1,4,26.6666666666667,263,26.6666666666667,NA
"264","Ectatoderus squamiger",2599718,"EN","B1ab(i,ii)+2ab(i,ii)","200","1500",NA,3,2,3.33333333333333,1,4,26.6666666666667,264,26.6666666666667,NA
"265","Ornebius syrticus",2602042,"EN","B2ab(i,ii)","200","80000",NA,3,2,3.33333333333333,1,4,26.6666666666667,265,26.6666666666667,NA
"266","Arachnocephalus subsulcatus",2602674,"EN","B1ab(i,ii)+2ab(i,ii)","167","2000",NA,3,2,3.33333333333333,1,4,26.6666666666667,266,26.6666666666667,NA
"267","Xerophaeus espoir",2442814,"VU","B1ab(iii)+2ab(iii)","100","300",NA,2,1,5,1,5,25,267,25,NA
"268","Roche roche",2442842,"VU","B1ab(iii)+2ab(iii)","50","400",NA,2,1,5,1,5,25,268,25,NA
"269","Silhouettella curieusei",2443031,"VU","B1ab(iii)+2ab(iii)","50","500",NA,2,1,5,1,5,25,269,25,NA
"270","Cenemus culiculus",2443066,"VU","B1ab(iii)+2ab(iii)","100","300",NA,2,1,5,1,5,25,270,25,NA
"271","Baviola braueri",2443101,"VU","B1ab(iii)+2ab(iii)","50","600",NA,2,1,5,1,5,25,271,25,NA
"272","Baviola vanmoli",2443115,"VU","B1ab(iii)+2ab(iii)","100","700",NA,2,1,5,1,5,25,272,25,NA
"273","Carrhotus bellus",2443122,"VU","B1ab(iii)+2ab(iii)","50","600",NA,2,1,5,1,5,25,273,25,NA
"274","Hasarius rufociliatus",2443157,"VU","B1ab(iii)+2ab(iii)","200","700",NA,2,1,5,1,5,25,274,25,NA
"275","Sadies fulgida",2443213,"VU","B1ab(iii)+2ab(iii)","100","600",NA,2,1,5,1,5,25,275,25,NA
"276","Sadies seychellensis",2443227,"VU","B1ab(iii)+2ab(iii)","100","300",NA,2,1,5,1,5,25,276,25,NA
"277","Soeuria soeur",2443255,"VU","B1ab(iii)+2ab(iii)","50","700",NA,2,1,5,1,5,25,277,25,NA
"278","Mesida thorelli",2458693,"VU","B1ab(iii)+2ab(iii)","100","700",NA,2,1,5,1,5,25,278,25,NA
"279","Argyrodella pusillus",2458707,"VU","B1ab(iii)+2ab(iii)","150","300",NA,2,1,5,1,5,25,279,25,NA
"280","Argyrodes cognatus",2458721,"VU","B1ab(iii)+2ab(iii)","150","300",NA,2,1,5,1,5,25,280,25,NA
"281","Argyrodes fissifrontellus",2458728,"VU","B1ab(iii)+2ab(iii)","150","300",NA,2,1,5,1,5,25,281,25,NA
"282","Phycosoma spundana",2458791,"VU","B1ab(iii)+2ab(iii)","20","800",NA,2,1,5,1,5,25,282,25,NA
"283","Stoda libudum",2458833,"VU","B1ab(iii)+2ab(iii)","50","300",NA,2,1,5,1,5,25,283,25,NA
"284","Andasta benoiti",2458868,"VU","B1ab(iii)+2ab(iii)","50","700",NA,2,1,5,1,5,25,284,25,NA
"285","Charinus seychellarum",2458903,"VU","B1ab(iii)+2ab(iii)","200","700",NA,2,1,5,1,5,25,285,25,NA
"286","Beierolpium benoiti",2458952,"VU","B1ab(iii)+2ab(iii)","20","500",NA,2,1,5,1,5,25,286,25,NA
"287","Xenolpium insulare",2458959,"VU","B1ab(iii)+2ab(iii)","20","600",NA,2,1,5,1,5,25,287,25,NA
"288","Rhinotus crassiceps",2475427,"VU","B1ab(iii)+2ab(iii)","50","300",NA,2,1,5,1,5,25,288,25,NA
"289","Pterozonium braueri",2475460,"VU","B1ab(iii)+2ab(iii)","25","900",NA,2,1,5,1,5,25,289,25,NA
"290","Hyperothrix orophura",2706828,"VU","B1ab(iii)+2ab(iii)","100","300",NA,2,1,5,1,5,25,290,25,NA
"291","Stylodonta unidentata",6450480,"VU","B2ab(iii)","87",NA,"7211700",2,1,5,1,5,25,291,25,NA
"292","Acanthennea erinacea",6457523,"VU","B1ab(iii)+2ab(iii)","25","300","90000",2,1,5,1,5,25,292,25,NA
"293","Augustula braueri",6457984,"VU","B1ab(iii)+2ab(iii)","25","300","1500000",2,1,5,1,5,25,293,25,NA
"294","Begonia seychellensis",8856478,"VU","B1ab(iii)+2ab(iii)","20","1500",NA,2,1,5,1,5,25,294,25,NA
"295","Gynura sechellensis",8857070,"VU","B1ab(iii)+2ab(iii)","10","1200",NA,2,1,5,1,5,25,295,25,NA
"296","Hypoxidia rhizophylla",8859674,"VU","B1ab(iii)+2ab(iii)","100","1700",NA,2,1,5,1,5,25,296,25,NA
"297","Seychellaria thomassetii",8861218,"VU","B1ab(iii)+2ab(iii)","10","1625",NA,2,1,5,1,5,25,297,25,NA
"298","Syzygium wrightii",9554187,"VU","B1ab(iii)+2ab(iii)",NA,NA,NA,2,1,5,1,5,25,298,25,NA
"299","Deckenia nobilis",10123751,"VU","B1ab(iii)+2ab(iii)",NA,NA,NA,2,1,5,1,5,25,299,25,NA
"300","Symbiezidium madagascariense",10178262,"EN","B1+2cd",NA,NA,NA,2,2,5,0.5,5,25,300,50,NA
"301","Ibalonius flavopictus",21577483,"VU","B1ab(iii)+2ab(iii)","20","300",NA,2,1,5,1,5,25,301,25,NA
"302","Phrynichus scaber",2458910,"VU","B1ab(iii)+2ab(iii); D2","10","700",NA,3,1,3.33333333333333,1,7,23.3333333333333,302,23.3333333333333,NA
"303","Ouette ouette",2442835,"VU","D2","0.48","0.48",NA,2,1,5,0.5,9,22.5,303,45,NA
"304","Cousinea keeleyi",2442856,"VU","D2","0.2","0.2",NA,2,1,5,0.5,9,22.5,304,45,NA
"305","Nesiergus insulanus",2475180,"VU","D2","2","2",NA,2,1,5,0.5,9,22.5,305,45,NA
"306","Bamazomus aviculus",2475264,"VU","D2","5","5",NA,2,1,5,0.5,9,22.5,306,45,NA
"307","Phalangacris phaloricephala",2595529,"VU","D2","1","600",NA,2,1,5,0.5,9,22.5,307,45,NA
"308","Mapania seychellaria",8860409,"VU","D2","1","1",NA,2,1,5,0.5,9,22.5,308,45,NA
"309","Seychellum alluaudi",58513166,"VU","D2","12","85",NA,2,1,5,0.5,9,22.5,309,45,NA
"310","Grammitis pervillei",9115146,"VU","D2","20","1500",NA,2,1,5,0.5,7,17.5,310,35,NA
"311","Soulamea terminalioides",9557720,"VU","D2",NA,NA,NA,2,1,5,0.5,7,17.5,311,35,NA
"312","Polyscias crassa",9791814,"VU","D2",NA,"229",NA,2,1,5,0.5,7,17.5,312,35,NA
"313","Papasula abbotti",152726109,"EN","B2ab(ii,iii)","92","688000","6000",5,2,2,1,4,16,313,16,NA
"314","Tarenna sechellensis",165443653,"VU","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","24","373450",NA,5,1,2,2,4,16,314,8,NA
"315","Goleba pallens",2443136,"VU","B1ab(iii)+2ab(iii)","200","8000",NA,3,1,3.33333333333333,1,4,13.3333333333333,315,13.3333333333333,NA
"316","Rhomphaea barycephala",2458805,"VU","B1ab(iii)+2ab(iii)","50","8000",NA,3,1,3.33333333333333,1,4,13.3333333333333,316,13.3333333333333,NA
"317","Psychotria pervillei",8843430,"VU","D2",NA,NA,NA,3,1,3.33333333333333,0.5,7,11.6666666666667,317,23.3333333333333,NA
"318","Chiromachus ochropus",21568706,"VU","D2","7","700",NA,4,1,2.5,0.5,9,11.25,318,22.5,NA
"319","Ardeola idae",189949320,"EN","C2a(ii)",NA,"1050000","1000-2499",19,2,0.526315789473684,2,5,10.5263157894737,319,5.26315789473684,NA
"320","Platylepis occulta",87635452,"VU","A2c","80","2197409",NA,13,1,0.769230769230769,4,3,9.23076923076923,320,3.07692307692308,NA
"321","Acropora roseni",165771027,"VU","A3ce",NA,NA,NA,9,1,1.11111111111111,4,2,8.88888888888889,321,4.44444444444444,NA
"322","Brignolia trichinalis",2442954,"VU","B1ab(iii)+2ab(iii)","100","2000",NA,5,1,2,1,4,8,322,8,NA
"323","Paracephaelis trichantha",166513521,"VU","B2ab(iii)","52","755109",NA,5,1,2,1,4,8,323,8,NA
"324","Balaenoptera musculus",156923585,"EN","A1abd",NA,NA,"5000-15000",89,2,0.112359550561798,6,2,2.69662921348315,324,1.34831460674157,NA
"325","Falco concolor",180387681,"VU","C2a(ii)",NA,"2370000","2800-4000",32,1,0.3125,2,4,2.5,325,1.25,NA
"326","Hydrobates matsudairae",132652969,"VU","D2",NA,"270",NA,18,1,0.555555555555556,0.5,7,1.94444444444444,326,3.88888888888889,NA
"327","Birgus latro",126813586,"VU","A2cd+4cd","546-125329","81056813",NA,52,1,0.192307692307692,4,1,0.769230769230769,327,0.769230769230769,NA
"328","Myrsine seychellarum",9554051,"CR","D",NA,NA,NA,1,4,10,0,10,0,NA,400,1
"329","Trilepisium gymnandrum",127865223,"CR","D","16","16","5-20",1,4,10,0,10,0,NA,400,2
"330","Garnotia sechellensis",8856872,"CR","D","1","1000","6-49",2,4,5,0,10,0,NA,200,3
"331","Copsychus sechellarum",179276878,"EN","D","60","1100","190",1,2,10,0,8,0,NA,160,4
"332","Euploea mitra",12907235,"EN","B1+2c",NA,NA,NA,1,2,10,0,6,0,NA,120,5
"333","Ceodes sechellarum",9719159,"EN","D","100","10","190",2,2,5,0,9,0,NA,90,6
"334","Coracopsis barklyi",179281607,"VU","D1",NA,"70","730-1170",1,1,10,0,9,0,NA,90,7
"335","Ficus bojeri",9558394,"VU","D2",NA,NA,NA,1,1,10,0,7,0,NA,70,8
"336","Piper seychellarum",10847879,"VU","D2",NA,NA,NA,1,1,10,0,7,0,NA,70,9
"337","Aerodramus elaphrus",177907869,"VU","D2",NA,"1300","1700-2000",1,1,10,0,7,0,NA,70,10
"338","Trachylepis wrightii",179810445,"VU","D2",NA,NA,NA,1,1,10,0,7,0,NA,70,11
"339","Terpsiphone corvina",157687578,"VU","D1","32","160","350-506",1,1,10,0,6,0,NA,60,12
"340","Falco araeus",227717030,"VU","D1","460","2080","700-900",1,1,10,0,6,0,NA,60,13
"341","Paludomus ajanensis",91285682,"EN","D",NA,NA,"100",3,2,3.33333333333333,0,8,0,NA,53.3333333333333,14
"342","Polposipus herculeanus",21425713,"VU","D2","2","2","54350",2,1,5,0,9,0,NA,45,15
"343","Excoecaria benthamiana",9553759,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,16
"344","Cassipourea thomassetii",9858371,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,17
"345","Pandanus aldabraensis",10058716,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,18
"346","Malleastrum leroyi",10064552,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,19
"347","Erythroxylum acranthum",10073407,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,20
"348","Allophylus aldabricus",10073612,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,21
"349","Chamaecrista aldabrensis",274385411,"VU","D2",NA,NA,NA,2,1,5,0,7,0,NA,35,22
"350","Cryptoblepharus aldabrae",109452631,"VU","D2",NA,"3415",NA,3,1,3.33333333333333,0,7,0,NA,23.3333333333333,23
"351","Geochelone gigantea",12949962,"VU","D2",NA,NA,NA,5,1,2,0,7,0,NA,14,24
"352","Aetomylaeus vespertilio",124440895,"CR","A2cd",NA,NA,NA,36,4,0.277777777777778,10,0,0,NA,11.1111111111111,25
"353","Acropora rudis",165628045,"EN","A3ce",NA,NA,NA,11,2,0.909090909090909,6,0,0,NA,10.9090909090909,26
"354","Acropora sordiensis",218756523,"EN","A3ce",NA,NA,NA,12,2,0.833333333333333,6,0,0,NA,10,27
"355","Rhynchobatus australiae",68643043,"CR","A2bd",NA,NA,NA,42,4,0.238095238095238,10,0,0,NA,9.52380952380952,28
"356","Acropora mossambica",218756167,"EN","A3ce",NA,NA,NA,15,2,0.666666666666667,6,0,0,NA,8,29
"357","Rhina ancylostomus",124421912,"CR","A2bd",NA,NA,NA,51,4,0.196078431372549,10,0,0,NA,7.84313725490196,30
"358","Acropora downingi",165906044,"EN","A3ce",NA,NA,NA,17,2,0.588235294117647,6,0,0,NA,7.05882352941176,31
"359","Acropora arabensis",165970329,"EN","A3ce",NA,NA,NA,17,2,0.588235294117647,6,0,0,NA,7.05882352941176,32
"360","Montipora orientalis",165637028,"EN","A3ce",NA,NA,NA,19,2,0.526315789473684,6,0,0,NA,6.31578947368421,33
"361","Pristis pristis",58336780,"CR","A2cd",NA,NA,NA,66,4,0.151515151515152,10,0,0,NA,6.06060606060606,34
"362","Acropora squarrosa",165870722,"EN","A3ce",NA,NA,NA,20,2,0.5,6,0,0,NA,6,35
"363","Holothuria nobilis",274961922,"EN","A2bd",NA,NA,NA,21,2,0.476190476190476,6,0,0,NA,5.71428571428571,36
"364","Vanellus gregarius",155545788,"CR","A3bcd+4bcd",NA,"1620000","11200",71,4,0.140845070422535,10,0,0,NA,5.63380281690141,37
"365","Acropora hemprichii",165659729,"EN","A3ce",NA,NA,NA,23,2,0.434782608695652,6,0,0,NA,5.21739130434783,38
"366","Seriatopora guttata",165974960,"EN","A3ce",NA,NA,NA,23,2,0.434782608695652,6,0,0,NA,5.21739130434783,39
"367","Acropora stoddarti",165630875,"EN","A3ce",NA,NA,NA,25,2,0.4,6,0,0,NA,4.8,40
"368","Eretmochelys imbricata",12881238,"CR","A2bd",NA,NA,NA,88,4,0.113636363636364,10,0,0,NA,4.54545454545454,41
"369","Montipora stilosa",165657060,"EN","A3ce",NA,NA,NA,27,2,0.37037037037037,6,0,0,NA,4.44444444444444,42
"370","Montipora friabilis",165735311,"EN","A3ce",NA,NA,NA,27,2,0.37037037037037,6,0,0,NA,4.44444444444444,43
"371","Isopora brueggemanni",165759263,"EN","A3ce",NA,NA,NA,27,2,0.37037037037037,6,0,0,NA,4.44444444444444,44
"372","Isopora crateriformis",165907396,"EN","A3ce",NA,NA,NA,27,2,0.37037037037037,6,0,0,NA,4.44444444444444,45
"373","Alveopora daedalea",165717596,"EN","A3ce","unknown",">20,000km²",NA,28,2,0.357142857142857,6,0,0,NA,4.28571428571429,46
"374","Porites attenuata",165725082,"EN","A3ce",NA,NA,NA,28,2,0.357142857142857,6,0,0,NA,4.28571428571429,47
"375","Lethrinus mahsena",16722325,"EN","A2bd",NA,NA,NA,31,2,0.32258064516129,6,0,0,NA,3.87096774193548,48
"376","Acropora pharaonis",165793790,"EN","A3ce",NA,NA,NA,31,2,0.32258064516129,6,0,0,NA,3.87096774193548,49
"377","Montipora lobulata",165729527,"EN","A3ce",NA,NA,NA,33,2,0.303030303030303,6,0,0,NA,3.63636363636364,50
"378","Micromussa lordhowensis",165852855,"EN","A3ce",NA,NA,NA,35,2,0.285714285714286,6,0,0,NA,3.42857142857143,51
"379","Montipora australiensis",165893439,"EN","A3ce",NA,NA,NA,36,2,0.277777777777778,6,0,0,NA,3.33333333333333,52
"380","Holothuria lessoni",1609567,"EN","A2bd",NA,NA,NA,37,2,0.27027027027027,6,0,0,NA,3.24324324324324,53
"381","Montipora effusa",165685629,"EN","A3ce",NA,NA,NA,39,2,0.256410256410256,6,0,0,NA,3.07692307692308,54
"382","Acropora glauca",165944388,"EN","A3ce",NA,NA,NA,39,2,0.256410256410256,6,0,0,NA,3.07692307692308,55
"383","Dipsastraea laxa",165865677,"EN","A3ce",NA,NA,NA,40,2,0.25,6,0,0,NA,3,56
"384","Sphyrna mokarran",2920499,"CR","A2bd",NA,NA,NA,138,4,0.072463768115942,10,0,0,NA,2.89855072463768,57
"385","Acropora striata",165815669,"EN","A3ce",NA,NA,NA,42,2,0.238095238095238,6,0,0,NA,2.85714285714286,58
"386","Hemipristis elongata",124424011,"EN","A2d",NA,NA,NA,43,2,0.232558139534884,6,0,0,NA,2.7906976744186,59
"387","Acropora retusa",165728440,"EN","A3ce",NA,NA,NA,43,2,0.232558139534884,6,0,0,NA,2.7906976744186,60
"388","Acropora palmerae",165935749,"EN","A3ce",NA,NA,NA,43,2,0.232558139534884,6,0,0,NA,2.7906976744186,61
"389","Pectinia lactuca",165634982,"EN","A3ce",NA,NA,NA,45,2,0.222222222222222,6,0,0,NA,2.66666666666667,62
"390","Astreopora suggesta",165694150,"EN","A3ce",NA,NA,NA,46,2,0.217391304347826,6,0,0,NA,2.60869565217391,63
"391","Alveopora fenestrata",165931994,"EN","A3ce",NA,NA,NA,46,2,0.217391304347826,6,0,0,NA,2.60869565217391,64
"392","Montipora undata",165968337,"EN","A3ce",NA,NA,NA,46,2,0.217391304347826,6,0,0,NA,2.60869565217391,65
"393","Mobula kuhlii",214405747,"EN","A2bd+3d",NA,NA,NA,46,2,0.217391304347826,6,0,0,NA,2.60869565217391,66
"394","Merulina scabricula",165681375,"EN","A3ce",NA,NA,NA,47,2,0.212765957446809,6,0,0,NA,2.5531914893617,67
"395","Montipora digitata",165764784,"EN","A3ce",NA,NA,NA,47,2,0.212765957446809,6,0,0,NA,2.5531914893617,68
"396","Alveopora verrilliana",165745706,"EN","A3ce",NA,NA,NA,48,2,0.208333333333333,6,0,0,NA,2.5,69
"397","Acropora yongei",165942828,"EN","A3ce",NA,NA,NA,48,2,0.208333333333333,6,0,0,NA,2.5,70
"398","Sphyrna lewini",2918526,"CR","A2bd",NA,NA,NA,161,4,0.062111801242236,10,0,0,NA,2.48447204968944,71
"399","Stylophora subseriata",165935170,"EN","A3ce",NA,NA,NA,49,2,0.204081632653061,6,0,0,NA,2.44897959183673,72
"400","Rostroraja alba",183781512,"EN","A2cd",NA,NA,NA,49,2,0.204081632653061,6,0,0,NA,2.44897959183673,73
"401","Calidris tenuirostris",155482913,"EN","A2bc+3bc+4bc",NA,"331000",NA,50,2,0.2,6,0,0,NA,2.4,74
"402","Acropora microclados",165849704,"EN","A3ce",NA,NA,NA,50,2,0.2,6,0,0,NA,2.4,75
"403","Acropora nana",166018690,"EN","A3ce",NA,NA,NA,50,2,0.2,6,0,0,NA,2.4,76
"404","Favites valenciennesii",165668021,"EN","A3ce",NA,NA,NA,51,2,0.196078431372549,6,0,0,NA,2.35294117647059,77
"405","Acropora elseyi",165673689,"EN","A3ce",NA,NA,NA,51,2,0.196078431372549,6,0,0,NA,2.35294117647059,78
"406","Acropora aculeus",165903510,"EN","A3ce",NA,NA,NA,51,2,0.196078431372549,6,0,0,NA,2.35294117647059,79
"407","Acropora anthocercis",165927627,"EN","A3ce",NA,NA,NA,51,2,0.196078431372549,6,0,0,NA,2.35294117647059,80
"408","Montipora peltiformis",165950846,"EN","A3ce",NA,NA,NA,51,2,0.196078431372549,6,0,0,NA,2.35294117647059,81
"409","Acropora longicyathus",165663454,"EN","A3ce",NA,NA,NA,52,2,0.192307692307692,6,0,0,NA,2.30769230769231,82
"410","Isopora palifera",165738739,"EN","A3ce",NA,NA,NA,52,2,0.192307692307692,6,0,0,NA,2.30769230769231,83
"411","Holothuria scabra",1606648,"EN","A2bd",NA,NA,NA,53,2,0.188679245283019,6,0,0,NA,2.26415094339623,84
"412","Urogymnus asperrimus",124411670,"EN","A2cd",NA,NA,NA,53,2,0.188679245283019,6,0,0,NA,2.26415094339623,85
"413","Acropora polystoma",165992609,"EN","A3ce",NA,NA,NA,53,2,0.188679245283019,6,0,0,NA,2.26415094339623,86
"414","Mobula eregoodoo",214376402,"EN","A2bd+3d",NA,NA,NA,53,2,0.188679245283019,6,0,0,NA,2.26415094339623,87
"415","Acropora acuminata",165640708,"EN","A3ce",NA,NA,NA,54,2,0.185185185185185,6,0,0,NA,2.22222222222222,88
"416","Acropora listeri",165653423,"EN","A3ce",NA,NA,NA,54,2,0.185185185185185,6,0,0,NA,2.22222222222222,89
"417","Montipora spongodes",165792388,"EN","A3ce",NA,NA,NA,54,2,0.185185185185185,6,0,0,NA,2.22222222222222,90
