"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"436",NA,"Psydrax lynesii","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",84550192,2022-03-21,"EN","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",1,"Unknown",NA,"Yes","Yes","Yes","Yes",NA,NA,"12","179.061",NA,"3",2,10,2,4,160,374,80,NA
"437",NA,"Haplochromis igneopinnis","CHORDATA","ACTINOPTERYGII","CICHLIFORMES","CICHLIDAE",97124579,2010-04-01,"EN","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2,10,2,4,160,374,80,NA
"438",NA,"Aframomum laxiflorum","TRACHEOPHYTA","LILIOPSIDA","ZINGIBERALES","ZINGIBERACEAE",124285295,2018-03-09,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"24","4507",NA,"5",2,10,2,4,160,374,80,NA
"439",NA,"Huberantha verdcourtii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",132676790,2018-08-17,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,"Unknown",NA,NA,"28","1091",NA,"4",2,10,2,4,160,374,80,NA
"440",NA,"Xylopia mwasumbii","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",137047597,2018-12-12,"EN","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)",1,"Decreasing",NA,"Yes",NA,"Unknown","Yes",NA,NA,"56","3991",NA,"5",2,10,2,4,160,374,80,NA
"441",NA,"Tinnea physalis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE",154388261,2018-06-14,"EN","3.1","B2ab(i,ii,iii,iv,v)","B2ab(i,ii,iii,iv,v)",1,"Unknown","Yes","Yes","Yes","Yes","Yes",NA,NA,"24","19747",NA,"3",2,10,2,4,160,374,80,NA
"442","Kirk's Red Colobus","Piliocolobus kirkii","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",168568335,2018-03-20,"EN","3.1","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","No",NA,"376","1288","5862","3",2,10,2,4,160,374,80,NA
"443",NA,"Uvaria pandensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",173544321,2006-03-02,"EN","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"3351",NA,"5",2,10,2,4,160,374,80,NA
"444",NA,"Mansonia diatomanthera","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",202123619,2022-03-20,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"24","2973.882",NA,"5",2,10,2,4,160,374,80,NA
"445",NA,"Anisophyllea obtusifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","CUCURBITALES","ANISOPHYLLEACEAE",216729505,2022-04-05,"EN","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"32","6902",NA,"4",2,10,2,4,160,374,80,NA
