"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"149",NA,"Diaphananthe spiralis","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87740002,2016-09-28,"VU","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing","No","Yes","No","No","No","No",NA,"28","72853.8",NA,"7",1,5,2,3,30,128,15,NA
"150",NA,"Rhipidoglossum obanense","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87740087,2016-10-08,"VU","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes",NA,"44","9691.6",NA,"7",1,5,2,3,30,128,15,NA
"151",NA,"Rhipidoglossum polydactylum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87749443,2017-04-25,"VU","3.1","B1ab(iii,v)+2ab(iii,v)","B1ab(iii,v)+2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","No","No","No","No",NA,"64","8900",NA,"8",1,5,2,3,30,128,15,NA
"152",NA,"Habenaria nigrescens","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",87750430,2017-05-03,"VU","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","No","No","No","No",NA,"28","46657.9",NA,"6",1,5,2,3,30,128,15,NA
"153",NA,"Cola nigerica","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",110085497,2018-05-31,"VU","3.1","B2ab(i,ii,iii)","B2ab(i,ii,iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"36","51950",NA,"7",1,5,2,3,30,128,15,NA
"154",NA,"Namataea simplicifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE",110086801,2022-07-22,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"24","5568",NA,"4-5",2,5,1,3,30,128,30,NA
"155",NA,"Aeollanthus trifidus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE",110089524,2017-03-22,"VU","3.1","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown",NA,"28","7426.853",NA,"7",1,5,2,3,30,128,15,NA
"156",NA,"Eragrostis camerunensis","TRACHEOPHYTA","LILIOPSIDA","POALES","POACEAE",110091217,2020-11-18,"VU","3.1","A2c","A2c","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"100-112","39967-44075",NA,"12-16",1,5,2,3,30,128,15,NA
"157",NA,"Andropogon pusillus","TRACHEOPHYTA","LILIOPSIDA","POALES","POACEAE",110091459,2020-02-13,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"24","12428",NA,"4-5",2,5,1,3,30,128,30,NA
"158",NA,"Phyllanthus dusenii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PHYLLANTHACEAE",110092338,2020-07-07,"EN","3.1","B2ab(ii,iii)","B2ab(ii,iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,"Unknown","Yes",NA,NA,"36","29709",NA,"5-6",2,5,1,3,30,128,30,NA
"159",NA,"Beilschmiedia hutchinsoniana","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",145297538,2020-06-26,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8-500",NA,NA,"2-3",2,5,1,3,30,128,30,NA
"160",NA,"Potamalpheops haugi","ARTHROPODA","MALACOSTRACA","DECAPODA","ALPHEIDAE",176962970,2012-03-15,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,3,30,128,30,NA
"161","ẹweokun","Dalbergia dalzielii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",199825346,2021-04-26,"VU","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",2,"Unknown","Yes","Yes","Unknown","Unknown","Unknown",NA,"No","40","251310",NA,"6",1,5,2,3,30,128,15,NA
