"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"16",NA,"Conophytum smaleorum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202850414,2021-12-07,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","No",NA,NA,NA,NA,"Yes","4","4","500-1000","1",4,10,10,9,3600,5,400,NA
"17",NA,"Conophytum schlechteri","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202850434,2021-12-07,"CR","3.1","A4d; B1ab(v)+2ab(v)","A4d; B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","8","8","250-500","1",4,10,10,9,3600,5,400,NA
"18",NA,"Conophytum pium","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202850511,2021-12-02,"CR","3.1","A4d; B1ab(v)+2ab(v)","A4d; B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","4","4","1000-1500","1",4,10,10,9,3600,5,400,NA
"19",NA,"Conophytum mirabile","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202850617,2021-12-01,"CR","3.1","A4d; B1ab(iii,v)+2ab(iii,v)","A4d; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4","1000-2500","1",4,10,10,9,3600,5,400,NA
"20",NA,"Conophytum khamiesbergense","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202850915,2021-11-25,"CR","3.1","A4cd","A4cd","Extant","Native",1,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","48","91","75000-125000","15-20",4,10,10,9,3600,5,400,NA
"21",NA,"Conophytum irmae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851020,2021-11-25,"CR","3.1","A4c; B1ab(iii,v)","A4c; B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","16","16","1500-2500","1",4,10,10,9,3600,5,400,NA
"22",NA,"Conophytum francoiseae","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851079,2021-11-23,"CR","3.1","A4d; B1ab(iii,v)","A4d; B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","16","16","7500-10000","1",4,10,10,9,3600,5,400,NA
"23",NA,"Conophytum cubicum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851226,2021-11-22,"CR","3.1","A3d","A3d","Extant","Native",1,"Unknown","Unknown","No",NA,NA,NA,NA,"Yes","8","8","1000-2500","1",4,10,10,9,3600,5,400,NA
"24",NA,"Conophytum confusum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851256,2021-10-14,"CR","3.1","A4ad; B1ab(iii,v)+2ab(iii,v)","A4ad; B1ab(iii,v)+2ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4","4","100","1",4,10,10,9,3600,5,400,NA
"25",NA,"Conophytum chrisolum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851277,2021-11-17,"CR","3.1","A3d; B1ab(iii)+2ab(iii)","A3d; B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown","Unknown","Yes",NA,NA,NA,NA,"Yes","4","4","500-1000","1",4,10,10,9,3600,5,400,NA
