"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"986",NA,"Rauvolfia steyermarkii","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",204735096,2021-10-04,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"No","28","281219.5",NA,"5",2,5,2,4,80,835,40,NA
"987",NA,"Spongiosperma riparium","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE",204735101,2021-10-04,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"No","24","10415.61",NA,"4",2,5,2,4,80,835,40,NA
"988",NA,"Stephanopodium cuspidatum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","DICHAPETALACEAE",205778586,2021-10-05,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12-500","4918",NA,"4",2,5,2,4,80,835,40,NA
"989","Mamita de Caballo","Calanthea pulcherrima","TRACHEOPHYTA","MAGNOLIOPSIDA","BRASSICALES","CAPPARACEAE",206226050,2021-11-24,"EN","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","24","28583",NA,"3",2,5,2,4,80,835,40,NA
"990",NA,"Erythroxylum guanchezii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","ERYTHROXYLACEAE",206226190,2021-11-03,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"Yes","20","17303.15",NA,"3-5",2,5,2,4,80,835,40,NA
"991","Malambo","Croton malambo","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",206226230,2021-11-04,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"No","24","22700",NA,"5",2,5,2,4,80,835,40,NA
"992",NA,"Rhodothyrsus hirsutus","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",206226255,2021-11-11,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)","Extant","Native",2,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"No","12","14328",NA,"3",2,5,2,4,80,835,40,NA
"993",NA,"Senna wurdackii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",206226360,2021-10-05,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"No","16","4185",NA,"4",2,5,2,4,80,835,40,NA
"994",NA,"Pachira orinocensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",206226575,2021-11-09,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","16","65219",NA,"4",2,5,2,4,80,835,40,NA
"995",NA,"Pachira pseudofaroensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",206226580,2021-11-09,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",2,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","20",NA,NA,"5",2,5,2,4,80,835,40,NA
