"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"213","Shore Dotterel","Thinornis novaeseelandiae","CHORDATA","AVES","CHARADRIIFORMES","CHARADRIIDAE",214215381,2022-06-16,"EN","3.1","D","D",1,"Increasing","No","Unknown","No","Unknown","Unknown","No","Yes","24","1500","170","2",2,10,0,8,0,NA,160,8
"214",NA,"Opisthoteuthis mero","MOLLUSCA","CEPHALOPODA","OCTOPODA","OPISTHOTEUTHIDAE",953097,2014-08-20,"EN","3.1","A2b","A2b",1,"Decreasing","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,12
"215","Longfinned Eel","Anguilla dieffenbachii","CHORDATA","ACTINOPTERYGII","ANGUILLIFORMES","ANGUILLIDAE",154802213,2018-11-08,"EN","3.1","A2bd","A2bd",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,0,0,NA,120,12
"216",NA,"Macrolearia chathamica","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",243965247,2023-09-03,"EN","3.1","A4ace","A4ace",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"20000",NA,2,10,6,0,0,NA,120,12
"217","New Zealand Sandalwood","Mida salicifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","SANTALACEAE",243965267,2023-09-08,"EN","3.1","A4ce","A4ce",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"20000-100000",NA,2,10,6,0,0,NA,120,12
"218",NA,"Catapyrgus sororius","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",2540037,2011-07-27,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,NA,"4-10","4-150",NA,"1",1,10,0,9,0,NA,90,16
"219",NA,"Potamopyrgus doci","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",2544395,2011-07-29,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,NA,"4","0-1",NA,NA,1,10,0,9,0,NA,90,16
"220",NA,"Meryta sinclairii","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",62741816,2013-08-31,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,"Yes","5","30",NA,NA,1,10,0,9,0,NA,90,16
"221","Stephens Island Frog","Leiopelma hamiltoni","CHORDATA","AMPHIBIA","ANURA","LEIOPELMATIDAE",66654406,2015-07-21,"VU","3.1","D1+2","D1+2",1,"Increasing","No","No","No","No","No","No","Yes","0-1","1-2","300-800","2",1,10,0,9,0,NA,90,16
"222","Maud Island Frog","Leiopelma pakeka","CHORDATA","AMPHIBIA","ANURA","LEIOPELMATIDAE",66690211,2015-07-21,"VU","3.1","D2","D2",1,"Stable","No",NA,"No","No","No","No","Yes","6","452","20500-35500","4",1,10,0,9,0,NA,90,16
"223","Three Kings Skink","Oligosoma fallai","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120191092,2019-11-15,"VU","3.1","D2","D2",1,"Stable",NA,NA,NA,NA,NA,NA,"Yes","24","24",NA,"1",1,10,0,9,0,NA,90,16
"224","Te Kakahu Skink","Oligosoma tekakahu","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",120192689,2018-02-13,"VU","3.1","D1+2","D1+2",1,"Increasing","Unknown",NA,NA,NA,"Unknown",NA,"Yes","8",NA,"250-999","1",1,10,0,9,0,NA,90,16
"225","Bounty Island Shag","Leucocarbo ranfurlyi","CHORDATA","AVES","SULIFORMES","PHALACROCORACIDAE",133557244,2018-08-09,"VU","3.1","D1+2","D1+2",1,"Stable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","1","2100","874-975","1",1,10,0,9,0,NA,90,16
