"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1111",NA,"Passiflora erythrophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PASSIFLORACEAE",203445365,2020-12-18,"VU","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"28","11483",NA,"6",1,10,2,3,60,993,30,NA
"1112",NA,"Pithecellobium subglobosum","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",206226345,2021-09-06,"EN","3.1","B2ab(iii)","B2ab(iii)",2,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","No","20","33564",NA,"5-6",2,5,2,3,60,993,30,NA
"1113",NA,"Eugenia casearioides","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",206226765,2022-04-19,"EN","3.1","B2ab(iii)","B2ab(iii)",2,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","No","20","86547",NA,"3-5",2,5,2,3,60,993,30,NA
"1114",NA,"Alseis mutisii","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",206227040,2022-04-17,"EN","3.1","B2ab(i,ii,iii,iv,v)","B2ab(i,ii,iii,iv,v)",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No","40","121515",NA,"10-20",2,5,2,3,60,993,30,NA
"1115",NA,"Xylosma spiculifera","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",206387909,2022-08-10,"EN","3.1","B2ab(ii,iii,iv)","B2ab(ii,iii,iv)",2,"Decreasing","Unknown","Yes","Yes","Unknown","Yes","Unknown","No","112",NA,NA,"4-6",2,5,2,3,60,993,30,NA
"1116",NA,"Myrcianthes crebrifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",206388194,2022-04-05,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)",2,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","20","7655",NA,"3-4",2,5,2,3,60,993,30,NA
"1117",NA,"Solanum longevirgatum","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629198,2022-02-01,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)",2,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"20","5992",NA,"4-5",2,5,2,3,60,993,30,NA
"1118",NA,"Solanum unifoliatum","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629358,2022-02-10,"VU","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"24","454",NA,"6",1,10,2,3,60,993,30,NA
"1119",NA,"Solanum validinervium","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",212629368,2022-02-10,"EN","3.1","B2ab(i,ii,iii,iv)","B2ab(i,ii,iii,iv)",2,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,"No","28","86630",NA,"4-5",2,5,2,3,60,993,30,NA
"1120",NA,"Priogymnanthus colombianus","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","OLEACEAE",226178401,2022-12-19,"VU","3.1","B2ab(iii,v)","B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"28","21152",NA,"6",1,10,2,3,60,993,30,NA
"1121",NA,"Polylepis ochreata","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","ROSACEAE",231875882,2023-04-24,"EN","3.1","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2,"Decreasing","Unknown","Yes","Yes","Yes","Yes",NA,NA,"108","4343",NA,"15",2,5,2,3,60,993,30,NA
"1122","Tea mangrove","Pelliciera benthamii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","TETRAMERISTACEAE",233987387,2022-12-09,"EN","3.1","B2ab(iii,iv)","B2ab(iii,iv)",2,"Decreasing",NA,"Yes",NA,NA,NA,"Yes",NA,"88",NA,NA,"10",2,5,2,3,60,993,30,NA
"1123",NA,"Critoniopsis bogotana","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",240868829,2023-06-23,"VU","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"28","7409",NA,"6-10",1,10,2,3,60,993,30,NA
"1124",NA,"Pentagonia magnifica","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",241887832,2023-06-14,"VU","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"28","13411",NA,"7",1,10,2,3,60,993,30,NA
"1125","Woodland Oldfield Mouse","Thomasomys hylophilus","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE",22365647,2016-07-11,"VU","3.1","B1ab(iii)","B1ab(iii)",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"19120.21",NA,"2",1,5,2,5,50,1125,25,NA
"1126",NA,"Epidendrum cancanae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",44518096,2013-08-08,"EN","3.1","B2ab(iii)","B2ab(iii)",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"8-500",NA,NA,"2",2,5,1,5,50,1125,50,NA
"1127",NA,"Brachionidium meridense","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",44519314,2010-08-06,"EN","3.1","B1ab(i,iii)","B1ab(i,iii)",2,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"2300",NA,"2",2,5,1,5,50,1125,50,NA
"1128","Boulenger's Least Gecko","Sphaerodactylus scapularis","CHORDATA","REPTILIA","SQUAMATA","SPHAERODACTYLIDAE",44954273,2013-10-25,"EN","3.1","B2ab(iii)","B2ab(iii)",2,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"70",NA,NA,"2",2,5,1,5,50,1125,50,NA
"1129","Colombian Weasel","Neogale felipei","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE",45201088,2016-02-10,"VU","3.1","C2a(i)","C2a(i)",2,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Yes","No","5600","38400","1350","5",1,5,2,5,50,1125,25,NA
"1130",NA,"Riama antioquensis","CHORDATA","REPTILIA","SQUAMATA","GYMNOPHTHALMIDAE",48832574,2013-10-25,"VU","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"2",1,10,1,5,50,1125,50,NA
"1131",NA,"Astroblepus ventralis","CHORDATA","ACTINOPTERYGII","SILURIFORMES","ASTROBLEPIDAE",61473453,2014-10-07,"VU","3.1","B1ab(iii)","B1ab(iii)",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"9500",NA,"2",1,10,1,5,50,1125,50,NA
