"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1188",NA,"Tieghemella africana","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",9759094,1998-01-01,"EN","2.3","A1cd","A2cd",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,6,0,0,NA,30,59
"1189","Izombe","Testulea gabonensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","OCHNACEAE",9767056,1998-01-01,"EN","2.3","A1cd","A2cd",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,6,0,0,NA,30,59
"1190","Pincushion Ray","Fontitrygon ukpam","CHORDATA","CHONDRICHTHYES","MYLIOBATIFORMES","DASYATIDAE",104174049,2020-08-04,"CR","3.1","A2cd","A2cd",14,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.714285714285714,10,0,0,NA,28.5714285714286,61
"1191",NA,"Millettia laurentii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",9767710,1998-01-01,"EN","2.3","A1cd","A2cd",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,0,0,NA,24,62
"1192","Akume","Guibourtia tessmannii","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",62026151,2020-11-18,"EN","3.1","A4d","A4d",5,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"265847",NA,NA,2,2,6,0,0,NA,24,62
"1193","Whitespotted Guitarfish","Rhinobatos albomaculatus","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINOBATIDAE",124465045,2020-08-04,"CR","3.1","A2d","A2d",18,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.555555555555556,10,0,0,NA,22.2222222222222,64
"1194","Spikenose Wedgefish","Rhynchobatus luebberti","CHORDATA","CHONDRICHTHYES","RHINOPRISTIFORMES","RHINIDAE",124448712,2018-12-03,"CR","3.1","A2d","A2d",19,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.526315789473684,10,0,0,NA,21.0526315789474,65
"1195",NA,"Crateranthus talbotii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","LECYTHIDACEAE",9723352,2004-04-30,"VU","3.1","A2c","A2c",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1196",NA,"Dicliptera silvestris","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","ACANTHACEAE",10995347,2004-04-30,"VU","3.1","A2c","A2c",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1197",NA,"Pararistolochia ceropegioides","TRACHEOPHYTA","MAGNOLIOPSIDA","PIPERALES","ARISTOLOCHIACEAE",10997363,2004-04-30,"VU","3.1","A3c","A3c",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1198",NA,"Drypetes molundana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","PUTRANJIVACEAE",10999409,2004-04-30,"VU","3.1","A2c","A2c",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1199",NA,"Allanblackia gabonensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","CLUSIACEAE",10999962,2004-04-30,"VU","3.1","A2c","A2c",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1200",NA,"Strychnos staudtii","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","LOGANIACEAE",11017546,2004-04-30,"VU","3.1","A2c","A2c",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
"1201",NA,"Eumachia obanensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",11022622,2004-04-30,"VU","3.1","A3c","A3c",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,66
