"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"18","Yellow-breasted Capuchin","Sapajus xanthosternos","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE",192592138,2020-03-02,"CR","3.1","A4cde","A4cde",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,NA,"470000","2499",NA,4,10,10,5,2000,15,400,NA
"19",NA,"Fomitiporia nubicola","BASIDIOMYCOTA","AGARICOMYCETES","HYMENOCHAETALES","HYMENOCHAETACEAE",245516895,2023-09-05,"CR","3.1","A3ce","A3ce",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"1250",NA,4,10,10,5,2000,15,400,NA
"20",NA,"Parodia arnostiana","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",669100,2010-06-02,"CR","3.1","A4ac","A4ac",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"No",NA,"3000",NA,"3",4,10,10,4,1600,20,400,NA
"21",NA,"Mollinedia jorgeorum","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","MONIMIACEAE",191148479,2018-09-04,"CR","3.1","A2c","A2c",1,"Decreasing","No","No","No","No","No",NA,NA,"12","32407",NA,"3",4,10,10,4,1600,20,400,NA
"22",NA,"Acanthosyris paulo-alvinii","TRACHEOPHYTA","MAGNOLIOPSIDA","SANTALALES","SANTALACEAE",202320564,2019-06-04,"CR","3.1","A2c","A2c",1,"Decreasing","Unknown","Yes",NA,"Yes","Yes",NA,NA,"28","20704",NA,"5",4,10,10,4,1600,20,400,NA
"23",NA,"Parodia neohorstii","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",669833,2010-06-03,"CR","3.1","A4ac","A4ac",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"1500",NA,NA,4,10,10,3,1200,23,400,NA
"24",NA,"Liolaemus lutzae","CHORDATA","REPTILIA","SQUAMATA","LIOLAEMIDAE",137950625,2014-08-04,"CR","3.1","A2c","A2c",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"489",NA,NA,NA,4,10,10,3,1200,23,400,NA
"25","Bahia Brain Coral","Mussismilia braziliensis","CNIDARIA","ANTHOZOA","SCLERACTINIA","FAVIIDAE",165962303,2021-06-01,"CR","3.1","A3c","A3c",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"416",NA,NA,NA,4,10,10,3,1200,23,400,NA
"26",NA,"Catimbaua pendula","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LINDERNIACEAE",186921514,2020-11-18,"EN","3.1","A3c; D","A3c; D",1,"Stable","No","Unknown","No","No","No","Unknown","Yes","12","12","200","3",2,10,6,9,1080,26,180,NA
"27",NA,"Dicypellium caryophyllaceum","TRACHEOPHYTA","MAGNOLIOPSIDA","LAURALES","LAURACEAE",176128859,2020-03-29,"CR","3.1","A2acd; C1","A2acd; C1",3,"Decreasing",NA,"No","No","No","No",NA,NA,"12","60907","249",NA,4,3.33333333333333,10,8,1066.66666666667,27,133.333333333333,NA
"28",NA,"Micranthocereus polyanthus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",2942664,2010-06-03,"EN","3.1","A2c; B1ab(iii,v); C2a(i)","A2c; B1ab(iii,v); C2a(i)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"3000","1000-2400","3",2,10,6,7,840,28,140,NA
"29","Black-headed Squirrel Monkey","Saimiri vanzolinii","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE",17940474,2020-12-01,"EN","3.1","A3c; B1ab(iii)","A3c; B1ab(iii)",1,"Decreasing","Unknown","Yes",NA,NA,NA,NA,"Yes","870","3116",NA,"1",2,10,6,7,840,28,140,NA
"30",NA,"Myrcia maritima","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",176950691,2020-06-19,"EN","3.1","A2c; B1ab(iii)","A2c; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"257-1196",NA,"4-5",2,10,6,7,840,28,140,NA
"31",NA,"Phallotorynus fasciolatus","CHORDATA","ACTINOPTERYGII","CYPRINODONTIFORMES","POECILIIDAE",1822954,2018-11-07,"CR","3.1","D","D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"0-500","0-49","2",4,10,2,10,800,31,400,NA
"32",NA,"Brugmansia insignis","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",51248842,2013-10-31,"EW","3.1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,31,80,NA
"33",NA,"Brugmansia suaveolens","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",58913403,2014-03-25,"EW","3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,31,80,NA
"34","Sao Paulo Treefrog","Boana clepsydra","CHORDATA","AMPHIBIA","ANURA","HYLIDAE",87942848,2021-04-09,"CR","3.1","D","D",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"661","1-49","1-5",4,10,2,10,800,31,400,NA
"35","Musical Treefrog","Aplastodiscus musicus","CHORDATA","AMPHIBIA","ANURA","HYLIDAE",115617810,2021-04-09,"CR","3.1","B1ab(v); D","B1ab(v); D",1,"Decreasing","Yes","No",NA,"No",NA,NA,"Yes",NA,"5-179","0-49","1",4,10,2,10,800,31,400,NA
"36",NA,"Dinizia jueirana-facao","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",118938383,2017-03-24,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"8","22-24","2",4,10,2,10,800,31,400,NA
"37","Cherry-throated Tanager","Nemosia rourei","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",130617765,2018-08-07,"CR","3.1","C2a(ii); D","C2a(ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"2200","30-200","2-5",4,10,2,10,800,31,400,NA
"38","Alagoas Curassow","Mitu mitu","CHORDATA","AVES","GALLIFORMES","CRACIDAE",132315266,2018-08-07,"EW","3.1",NA,NA,1,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,8,1,10,10,800,31,80,NA
"39","Little Blue Macaw","Cyanopsitta spixii","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",153022606,2019-06-20,"EW","3.1",NA,NA,1,NA,"No","Unknown","No","No","No","No","No","0","0","0","0",8,1,10,10,800,31,80,NA
