"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"13","Candelilla","Euphorbia coalcomanensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",126603994,2020-03-21,"CR","3.1","C1","C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"12","12-149","249",NA,4,10,8,9,2880,12,360,NA
"14",NA,"Guettarda coatzacoalcensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",126613471,2020-08-31,"CR","3.1","B1ab(i,iii,v); C1","B1ab(i,iii,v); C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"10","249","1",4,10,8,9,2880,12,360,NA
"15",NA,"Desmopsis migueliana","TRACHEOPHYTA","MAGNOLIOPSIDA","MAGNOLIALES","ANNONACEAE",137376109,2019-12-13,"CR","3.1","C1+2a(i)","C1+2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"8-100","8-100","99","2",4,10,8,9,2880,12,360,NA
"16",NA,"Lonchocarpus barbatus","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE",156940522,2019-08-27,"CR","3.1","A2ac; B1ab(ii,iii,v); C1","A2ac; B1ab(ii,iii,v); C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,"16","31.916-100","249","4",4,10,8,9,2880,12,360,NA
"17","Cedrillo","Mortoniodendron palaciosii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847895,2020-05-13,"CR","3.1","A2c; C1","A2c; C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"18.743","249",NA,4,10,8,9,2880,12,360,NA
"18",NA,"Tapura mexicana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","DICHAPETALACEAE",126301001,2020-06-08,"CR","3.1","C1","C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"249",NA,4,10,8,8,2560,18,320,NA
"19",NA,"Bernardia macrocarpa","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE",126301091,2020-03-18,"CR","3.1","A2ac; C1","A2ac; C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"16-499","717","249",NA,4,10,8,8,2560,18,320,NA
"20","Calatolli (Náhuatl)","Calatola mollis","TRACHEOPHYTA","MAGNOLIOPSIDA","METTENIUSALES","METTENIUSACEAE",126604249,2020-04-06,"CR","3.1","A2c; C1","A2c; C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"48","10343","249",NA,4,10,8,8,2560,18,320,NA
"21","Pepetaca","Sterculia xolocotzii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847990,2020-05-18,"CR","3.1","C1","C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"4088","249",NA,4,10,8,8,2560,18,320,NA
"22","Assoot","Agave pelona","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ASPARAGACEAE",188903726,2018-02-16,"CR","3.1","A3d","A3d","Extant","Native",1,"Decreasing",NA,NA,NA,"Yes",NA,NA,NA,NA,"530",NA,"1",4,10,10,6,2400,22,400,NA
"23","Morro","Amphitecna loreae","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","BIGNONIACEAE",163440814,2019-12-06,"CR","3.1","A2ac; B1ab(i,iii); D","A2ac; B1ab(i,iii); D","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,"4-100","4-100","49","1",4,10,5,10,2000,23,400,NA
"24",NA,"Mortoniodendron uxpanapense","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847915,2020-05-14,"CR","3.1","A2ac; B1ab(iii); D","A2ac; B1ab(iii); D","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"99","49","1",4,10,5,10,2000,23,400,NA
"25","Vallarta Mud Turtle","Kinosternon vogti","CHORDATA","REPTILIA","TESTUDINES","KINOSTERNIDAE",215164374,2022-03-11,"CR","3.1","A4cde","A4cde","Extant","Native",1,"Decreasing",NA,"Yes","Yes","Yes","Yes",NA,NA,"100","330","1000","5",4,10,10,5,2000,23,400,NA
"26",NA,"Zamia purpurea","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243410929,2020-05-18,"CR","3.1","A4cd","A4cd","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"4696","2000",NA,4,10,10,5,2000,23,400,NA
