"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"Kaifayama Mogurnda","Mogurnda kaifayama","CHORDATA","ACTINOPTERYGII","GOBIIFORMES","ELEOTRIDAE",161059307,"2019-12-06","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"170",NA,"1",2,10,1,6,120,755,120,NA
"Sentani Goby","Glossogobius sentaniensis","CHORDATA","ACTINOPTERYGII","GOBIIFORMES","GOBIIDAE",161067424,"2019-12-05","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"185",NA,"1",2,10,1,6,120,755,120,NA
"Arguni Rainbowfish","Melanotaenia arguni","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161082652,"2019-12-03","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,NA,NA,"220",NA,"1",2,10,1,6,120,755,120,NA
"Fasin Rainbowfish","Melanotaenia fasinensis","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161096793,"2019-12-04","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,NA,NA,"130",NA,"1",2,10,1,6,120,755,120,NA
"Yapen Rainbowfish","Melanotaenia japenensis","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161098643,"2019-12-03","EN",3.1,"B1ab(iii,iv)","B1ab(iii,iv)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"Yes",NA,NA,"140",NA,"3-5",2,10,2,3,120,755,60,NA
"Manibui’s Rainbowfish","Melanotaenia manibuii","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161100403,"2019-12-05","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,NA,NA,"160",NA,"1",2,10,1,6,120,755,120,NA
"Naramasa Rainbowfish","Melanotaenia naramasae","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161109904,"2019-12-04","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,NA,NA,"140",NA,"1",2,10,1,6,120,755,120,NA
"Sembra Rainbowfish","Melanotaenia sembrae","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",161110864,"2019-12-05","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Stable",NA,"Yes",NA,NA,NA,NA,NA,NA,"300",NA,"1",2,10,1,6,120,755,120,NA
NA,"Drepanosticta bartelsi","ARTHROPODA","INSECTA","ODONATA","PLATYSTICTIDAE",167180503,"2020-12-13","EN",3.1,"B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,"10-500","1651-4862",NA,"1-2",2,10,2,3,120,755,60,NA
NA,"Homalium minahassae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE",169370133,"2020-04-11","EN",3.1,"B2ab(i,ii,iii)","B2ab(i,ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"16-500","257947",NA,"4-5",2,10,2,3,120,755,60,NA
