"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"15","Shaw Galaxias","Galaxias gunaikurnai","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382116,2019-02-14,"CR","3.1","A2abce+3ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1","A2abce+3ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4","30-100","1",4,5,10,9,1800,8,200,NA
"16","Tapered galaxias","Galaxias lanceolatus","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382121,2019-02-14,"CR","3.1","A3ce; B1ab(i,ii,iii,iv,v)","A3ce; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","16","16","300-600","1",4,5,10,9,1800,8,200,NA
"17","McDowall's Galaxias","Galaxias mcdowalli","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382131,2019-02-14,"CR","3.1","A3bce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A3bce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","8-28","28","6000-9000","1",4,5,10,9,1800,8,200,NA
"18","Dargo Galaxias","Galaxias mungadhan","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382136,2019-02-14,"CR","3.1","A3ce; B1ab(i,ii,iii,iv,v)","A3ce; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","16","16","5000-7000","1",4,5,10,9,1800,8,200,NA
"19","Kosciuszko Galaxias","Galaxias supremus","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",123382156,2019-02-13,"CR","3.1","A3bce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A3bce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","8","8","1000-2500","1",4,5,10,9,1800,8,200,NA
"20","Malanda Rainbowfish","Melanotaenia sp. nov. 'Malanda'","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",123382516,2019-02-15,"CR","3.1","A2ace+3ce; B1ab(i,ii,iii,v)","A2ace+3ce; B1ab(i,ii,iii,v)","Extant","Native",2,"Decreasing","Yes","Yes","No","Yes","Yes",NA,"Yes","28","30",NA,"1",4,5,10,9,1800,8,200,NA
"21",NA,"Melanotaenia sp. nov. 'Running River'","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","MELANOTAENIIDAE",123382521,2019-02-15,"CR","3.1","A3be+4ae; B1ab(i,ii,iv,v)","A3be+4ae; B1ab(i,ii,iv,v)","Extant","Native",2,"Decreasing","Yes","No","Yes","Yes","Yes",NA,"Yes","16","16",NA,"1",4,5,10,9,1800,8,200,NA
"22","'Yalmy' Galaxias","Galaxias sp. nov. 'Yalmy'","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",128972908,2019-02-14,"CR","3.1","A3ce; B1ab(i,ii,iii,iv,v)","A3ce; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","36","36","1000-2000","1",4,5,10,9,1800,8,200,NA
"23",NA,"Galaxias sp. nov. 'Morwell'","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",128972919,2019-02-14,"CR","3.1","A2bc+3bce; B1ab(i,ii,iii,iv,v)","A2bc+3bce; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","20","20",NA,"1",4,5,10,9,1800,8,200,NA
"24","'Moroka' Galaxias","Galaxias sp. nov. 'Moroka'","CHORDATA","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE",128972932,2019-02-14,"CR","3.1","A3ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","A3ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","4","4",NA,"1",4,5,10,9,1800,8,200,NA
