"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"13","Saola","Pseudoryx nghetinhensis","CHORDATA","MAMMALIA","ARTIODACTYLA","BOVIDAE",166485696,2015-11-27,"CR","3.1","A2acd+3cd+4acd; C2a(i)","A2acd+3cd+4acd; C2a(i)","Extant","Native",2,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","10-5000",NA,"25-750, 50-300","5-15",4,5,10,8,1600,11,200,NA
"14","Ellen's Paphiopedilum","Paphiopedilum helenae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2000854,2014-02-03,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes",NA,"8","8","50","1",4,3.33333333333333,10,10,1333.33333333333,14,133.333333333333,NA
"15","Tran's Paphiopedilum","Paphiopedilum tranlienianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2003318,2014-03-17,"CR","3.1","A2acd+3cd+4acd; C1+2a(i); D","A2acd+3cd+4acd; C1+2a(i); D","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","12","4000","1-50","3",4,3.33333333333333,10,10,1333.33333333333,14,133.333333333333,NA
"16","Butterfly Loach","Sewellia breviventralis","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","GASTROMYZONTIDAE",8640365,2010-09-04,"CR","3.1","A2ac","A2ac","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"3000-5000",NA,"1",4,10,5,6,1200,16,240,NA
"17","Southern White-cheeked Gibbon","Nomascus siki","CHORDATA","MAMMALIA","PRIMATES","HYLOBATIDAE",17968765,2015-11-20,"CR","3.1","A4cd","A4cd","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"No",NA,NA,"600",NA,4,5,10,6,1200,16,200,NA
"18",NA,"Cycas collina","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67340335,2020-11-04,"CR","3.1","A2ace+4ace","A2ace+4ace","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"2000-2500",NA,NA,4,10,10,3,1200,16,400,NA
"19","dujuetie","Cycas multipinnata","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68906269,2020-04-09,"CR","3.1","A2acd+4acd","A2acd+4acd","Extant","Native",3,"Decreasing","Yes","Yes",NA,NA,NA,"Yes",NA,"36","4233","150-250","3",4,3.33333333333333,10,8,1066.66666666667,19,133.333333333333,NA
"20","Giant Ibis","Thaumatibis gigantea","CHORDATA","AVES","PELECANIFORMES","THRESKIORNITHIDAE",134200680,2018-08-18,"CR","3.1","A2cd+3cd+4cd; C2a(i)","A2cd+3cd+4cd; C2a(i)","Extant","Native",3,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"120000","194",NA,4,3.33333333333333,10,8,1066.66666666667,19,133.333333333333,NA
"21","Yangtze Giant Softshell Turtle","Rafetus swinhoei","CHORDATA","REPTILIA","TESTUDINES","TRIONYCHIDAE",2931537,2018-03-12,"CR","3.1","A2acd; D","A2acd; D","Extant","Native",2,"Decreasing","Yes",NA,"Yes","Yes","Yes",NA,"Yes","12",NA,"3","3",4,5,5,10,1000,21,200,NA
"22","Trai Cóc Dày","Lamprotula crassa","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",6806433,2010-11-27,"CR","3.1","A2abc","A2abc","Possibly Extinct","Native",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,"50","100",NA,"2",4,10,5,5,1000,21,200,NA
"23","Trai Cóc Tròn","Lamprotula nodulosa","MOLLUSCA","BIVALVIA","UNIONIDA","UNIONIDAE",176539360,2010-11-15,"CR","3.1","A2c","A2c","Possibly Extinct","Native",1,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"20000",NA,"2",4,10,5,5,1000,21,200,NA
"24",NA,"Camellia amplexicaulis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","THEACEAE",1975870,2017-07-20,"EW","3.1",NA,NA,"Extinct Post-1500","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,24,80,NA
"25",NA,"Camellia cucphuongensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","THEACEAE",1979357,2015-02-03,"CR","3.1","D","D","Extant","Native",1,"Decreasing","Unknown","No",NA,"Yes","Yes",NA,NA,"10-500",NA,"20-30",NA,4,10,2,10,800,24,400,NA
"26","Hang's Paphiopedilum ","Paphiopedilum hangianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",2000555,2014-01-29,"CR","3.1","A2acd+3cd+4acd; C1+2a(i)","A2acd+3cd+4acd; C1+2a(i)","Extant","Native",4,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","20","3250","249","3",4,2.5,10,8,800,24,100,NA
"27","Emerson's Paphiopedilum ","Paphiopedilum emersonii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",3011284,2013-01-22,"CR","3.1","A2acd+3cd+4acd; C1","A2acd+3cd+4acd; C1","Extant","Native",4,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","20","25000","250","5",4,2.5,10,8,800,24,100,NA
"28",NA,"Schistura nasifilis","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","NEMACHEILIDAE",7664052,2010-08-11,"CR","3.1","C2a(i); D","C2a(i); D","Possibly Extinct","Native",1,"Decreasing","0.8","Yes",NA,NA,NA,NA,"Yes",NA,"100-120","0-49","2",4,10,2,10,800,24,400,NA
"29","Southern Viet Nam Box Turtle","Cuora picturata","CHORDATA","REPTILIA","TESTUDINES","GEOEMYDIDAE",123815952,2018-03-12,"CR","3.1","A2bd+4bd","A2bd+4bd","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"3000","25000","3000-10000",NA,4,10,10,2,800,24,400,NA
"30",NA,"Eustigma honbaense","TRACHEOPHYTA","MAGNOLIOPSIDA","SAXIFRAGALES","HAMAMELIDACEAE",182523622,2020-10-01,"CR","3.1","D","D","Extant","Native",1,"Decreasing","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Yes","4",NA,"1-49","1",4,10,2,10,800,24,400,NA
"31",NA,"Lithocarpus braianensis","TRACHEOPHYTA","MAGNOLIOPSIDA","FAGALES","FAGACEAE",219174518,2020-12-14,"CR","3.1","D","D","Extant","Native",1,"Decreasing","Yes","Yes","Yes",NA,"Yes","Yes","Yes","12",NA,"1-49","2",4,10,2,10,800,24,400,NA
"32",NA,"Camellia rosmannii","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","THEACEAE",1982061,2014-12-02,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,NA,"1-100",NA,"1",4,10,2,9,720,32,360,NA
"33","Nua dut doan","Amorphophallus interruptus","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2715296,2011-11-01,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"34",NA,"Amorphophallus lanuginosus","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2715407,2011-11-01,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4","300","1",4,10,2,9,720,32,360,NA
"35",NA,"Amorphophallus synandrifer","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2715608,2011-11-01,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"36",NA,"Hapaline locii","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2716193,2011-11-03,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,"499","1",4,10,2,9,720,32,360,NA
"37",NA,"Typhonium lineare","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2716669,2011-11-03,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"38",NA,"Typhonium penicillatum","TRACHEOPHYTA","LILIOPSIDA","ALISMATALES","ARACEAE",2716795,2011-11-03,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,2,9,720,32,360,NA
"39","Sao hinh tim","Hopea cordata","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",2836326,2017-03-01,"CR","3.1","B1ab(i,ii,iii,v)","B1ab(i,ii,iii,v)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"1-99","100-249","1",4,10,2,9,720,32,360,NA
"40",NA,"Bertia cambojiensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","DYAKIIDAE",21247822,2013-07-24,"CR","3.1","B2ab(iii,v)","B2ab(iii,v)","Extant","Native",1,"Unknown","Yes","Yes",NA,NA,NA,NA,"Yes","9",NA,NA,"1",4,10,2,9,720,32,360,NA
"41",NA,"Camellia inusitata","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","THEACEAE",70088543,2015-01-14,"CR","3.1","B1ab(iii,v)+2ab(iii,v); C2a(ii)","B1ab(iii,v)+2ab(iii,v); C2a(ii)","Extant","Native",1,"Unknown","Yes","Yes",NA,NA,NA,NA,NA,"1-4","0-100","100","1",4,10,2,9,720,32,360,NA
"42",NA,"Camellia dalatensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","THEACEAE",70561545,2015-11-26,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"1-100",NA,"1",4,10,2,9,720,32,360,NA
