"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"41",NA,"Phrynopus heimorum","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",89211204,2017-04-19,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10.1",NA,"1",4,10,2,9,720,22,360,NA
"42","Junin Andes Frog","Phrynopus juninensis","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",89211539,2017-04-18,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,22,360,NA
"43",NA,"Atelopus pyrodactylus","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",89218336,2018-03-23,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10",NA,"1",4,10,2,9,720,22,360,NA
"44",NA,"Microkayla boettgeri","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",89219032,2018-03-14,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10-99",NA,"1",4,10,2,9,720,22,360,NA
"45","Andean Water Frog","Telmatobius ventriflavum","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",89226187,2018-03-23,"CR","3.1","B1ab(iii,v)","B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"16-19999",NA,"1",4,10,2,9,720,22,360,NA
"46",NA,"Noblella madreselva","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",89226277,2017-04-19,"CR","3.1","B1ab(iii)","B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"10.19",NA,"1",4,10,2,9,720,22,360,NA
"47",NA,"Solanum trinitense","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE",101532923,2018-07-17,"CR","3.1","B1ab(i,ii,iii,v)","B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"12",NA,"1",4,10,2,9,720,22,360,NA
"48",NA,"Trichilia reynelii","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","MELIACEAE",122659547,2023-05-09,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8",NA,NA,"1",4,10,2,9,720,22,360,NA
"49",NA,"Micropholis macrophylla","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",126575134,2023-05-09,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"50",NA,"Pouteria cinnamomea","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",126576602,2023-05-09,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"51",NA,"Pouteria pisquiensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",126578590,2023-05-09,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"52",NA,"Pouteria sessilis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","SAPOTACEAE",126579185,2023-05-09,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"53","Golden-Eyed Stick Insect","Peruphasma schultei","ARTHROPODA","INSECTA","PHASMIDA","Pseudophasmatidae",127947412,2018-05-04,"CR","3.1","B1ab(ii,iii,v)","B1ab(ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Unknown","Yes",NA,"Yes","25","25",NA,NA,4,10,2,9,720,22,360,NA
"54",NA,"Axinaea fernando-cabiesii","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",149251442,2021-04-07,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes","Unknown","Unknown","Unknown",NA,"Unknown","4","4",NA,"1",4,10,2,9,720,22,360,NA
"55",NA,"Ilex microsticta","TRACHEOPHYTA","MAGNOLIOPSIDA","AQUIFOLIALES","AQUIFOLIACEAE",183002377,2022-06-06,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,2,9,720,22,360,NA
"56",NA,"Krapfia grace-servatiae","TRACHEOPHYTA","MAGNOLIOPSIDA","RANUNCULALES","RANUNCULACEAE",188835606,2018-11-22,"CR","3.1","B1ab(v)+2ab(v)","B1ab(v)+2ab(v)",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,"8","8",NA,"1",4,10,2,9,720,22,360,NA
"57",NA,"Axinaea reginae","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",204909763,2021-07-20,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8","8",NA,"1",4,10,2,9,720,22,360,NA
"58",NA,"Blakea nareliana","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",204909783,2021-07-21,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"8","0.2-8",NA,"1",4,10,2,9,720,22,360,NA
"59",NA,"Geissanthus dentatus","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",207805115,2022-07-29,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"60",NA,"Geissanthus peruvianus","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE",207805135,2022-07-29,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,2,9,720,22,360,NA
"61",NA,"Miconia longisepala","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",207805215,2022-08-04,"CR","3.1","B2ab(iii)","B2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,2,9,720,22,360,NA
