"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
NA,"Linochilus oblongifolius","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE",177764249,2020-03-01,"EN","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"12","40",NA,"2",2,10,2,9,360,265,180,NA
NA,"Dendropanax pachypodus","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",177764902,2020-03-01,"EN","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,"No",NA,"4",NA,NA,"2",2,10,2,9,360,265,180,NA
NA,"Byssoloma permutans","ASCOMYCOTA","LECANOROMYCETES","LECANORALES","BYSSOLOMATACEAE",180161997,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Arthonia obscurella","ASCOMYCOTA","ARTHONIOMYCETES","ARTHONIALES","ARTHONIACEAE",180162115,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Gyalideopsis chicaque","ASCOMYCOTA","LECANOROMYCETES","OSTROPALES","GOMPHILLACEAE",180162844,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Bacidia proposita","ASCOMYCOTA","LECANOROMYCETES","LECANORALES","RAMALINACEAE",180163556,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Lecanactis proximans","ASCOMYCOTA","ARTHONIOMYCETES","ARTHONIALES","ROCCELLACEAE",180164612,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Arthonia septemlocularis","ASCOMYCOTA","ARTHONIOMYCETES","ARTHONIALES","ARTHONIACEAE",180165777,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Schismatomma leucopsarum","ASCOMYCOTA","ARTHONIOMYCETES","ARTHONIALES","ROCCELLACEAE",180167550,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
NA,"Ancistrosporella leucophila","ASCOMYCOTA","ARTHONIOMYCETES","ARTHONIALES","ROCCELLACEAE",180168448,2019-11-26,"CR","3.1","B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4",NA,NA,"1",4,10,1,9,360,265,360,NA
