"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"18","Di Lutu’s ‘aute","Hibiscus macverryi","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",168544277,2020-02-18,"CR","3.1","C2a(i)","C2a(i)","Extant","Native",1,"Decreasing","Yes","Yes","No",NA,NA,"No",NA,"16","105.5","249",NA,4,10,2,8,640,17,320,NA
"19","Fiji Crested Iguana","Brachylophus vitiensis","CHORDATA","REPTILIA","SQUAMATA","IGUANIDAE",2791620,2012-06-22,"CR","3.1","A2abce","A2abce","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,NA,"12000-14000,13000","8",4,10,5,2,400,19,200,NA
"20","Lutulutu","Meryta tenuifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE",99550695,2016-07-28,"CR","3.1","B1ab(iii); D","B1ab(iii); D","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"1-50","10-49","1",4,10,1,10,400,19,400,NA
"21",NA,"Succinea rotumana","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","SUCCINEIDAE",1495957,2011-07-24,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes","No","Unknown","Yes",NA,NA,"25","45",NA,"1",4,10,1,9,360,21,360,NA
"22","Flax Snail","Placostylus koroensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ORTHALICIDAE",1497554,2011-08-28,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes",NA,NA,"Yes",NA,"Yes","61","61",NA,"1",4,10,1,9,360,21,360,NA
"23",NA,"Gonatorhaphe lauensis","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","NEOCYCLOTIDAE",2384600,2011-08-02,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","17","22",NA,"1",4,10,1,9,360,21,360,NA
"24",NA,"Omphalotropis ingens","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","ASSIMINEIDAE",2386580,2011-08-18,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Possibly Extinct","Native",1,"Unknown",NA,"Yes",NA,"No","Yes",NA,"Yes","4.48","4.48",NA,"1",4,10,1,9,360,21,360,NA
"25","Flax Shell","Placostylus mbengensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ORTHALICIDAE",2390021,2011-08-28,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,"Yes","20","20",NA,"1",4,10,1,9,360,21,360,NA
"26",NA,"Priceconcha tuvuthaensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ENDODONTIDAE",2390808,2011-08-02,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes","13.3","13.3",NA,"1",4,10,1,9,360,21,360,NA
"27",NA,"Trochomorpha moalensis","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ZONITIDAE",2394223,2011-08-22,"CR","3.1","B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","Yes",NA,"Yes","20","64",NA,"1",4,10,1,9,360,21,360,NA
"28",NA,"Trochomorpha tuvuthae","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","ZONITIDAE",2394924,2011-08-22,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes","No","No","No",NA,"Yes",NA,"13.3",NA,"1",4,10,1,9,360,21,360,NA
"29",NA,"Balaka microcarpa","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",2869058,2017-03-22,"CR","3.1","B1ab(ii,iii)+2ab(ii,iii)","B1ab(ii,iii)+2ab(ii,iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,"Yes",NA,NA,"8","10",NA,"1",4,10,1,9,360,21,360,NA
"30",NA,"Metrosideros ochrantha","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",99514251,2016-07-29,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4-99",NA,"1",4,10,1,9,360,21,360,NA
"31",NA,"Gardenia candida","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",99514283,2016-07-28,"CR","3.1","B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"16","16",NA,"1",4,10,1,9,360,21,360,NA
"32",NA,"Astronidium pallidiflorum","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MELASTOMATACEAE",99515101,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"33",NA,"Cyrtandra tempestii","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",99515161,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"34",NA,"Cyrtandra denhamii","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",99515219,2016-07-28,"CR","3.1","B1ab(i,iii)","B1ab(i,iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,"Yes",NA,NA,"Yes",NA,"1-100",NA,"1",4,10,1,9,360,21,360,NA
"35",NA,"Cyrtandra taviunensis","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",99515249,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
"36",NA,"Cyrtandra spathacea","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","GESNERIACEAE",99515369,2023-09-04,"CR","3.1","B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,1,9,360,21,360,NA
