"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"15","Lake Oku Puddle Frog","Phrynobatrachus njiomock","CHORDATA","AMPHIBIA","ANURA","PHRYNOBATRACHIDAE",76317920,2016-11-18,"CR","3.1","A2ae; B1ab(iii)","A2ae; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"14.10",NA,"1",4,10,10,9,3600,7,400,NA
"16","Cuellaje Stream Treefrog","Hyloscirtus princecharlesi","CHORDATA","AMPHIBIA","ANURA","HYLIDAE",97874126,2020-10-09,"CR","3.1","A3c; B1ab(iii)","A3c; B1ab(iii)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"24.3",NA,"1",4,10,10,9,3600,7,400,NA
"17","Giant Paramo Rainfrog","Pristimantis andinogigas","CHORDATA","AMPHIBIA","ANURA","STRABOMANTIDAE",153631865,2021-01-27,"CR","3.1","A2a; B1ab(v)","A2a; B1ab(v)",1,"Decreasing","Yes","Unknown",NA,NA,NA,NA,"Yes",NA,"7.18",NA,"1",4,10,10,9,3600,7,400,NA
"18","Cricket Coqui","Eleutherodactylus gryllus","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE",172795370,2020-06-30,"CR","3.1","A4ac; B1ab(iii,v)","A4ac; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"98.8",NA,"1",4,10,10,9,3600,7,400,NA
"19","Atewa Slippery Frog","Conraua sagyimase","CHORDATA","AMPHIBIA","ANURA","CONRAUIDAE",204501158,2021-08-26,"CR","3.1","A3c; B1ab(iii)","A3c; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"26","1000","1",4,10,10,9,3600,7,400,NA
"20","Sarrabus Cave Salamander","Speleomantes sarrabusensis","CHORDATA","AMPHIBIA","CAUDATA","PLETHODONTIDAE",227236611,2023-02-03,"CR","3.1","A2a; B1ab(v)","A2a; B1ab(v)",1,"Decreasing","Yes","Unknown","No","Unknown","Unknown",NA,"Yes",NA,"70",NA,"1",4,10,10,9,3600,7,400,NA
"21",NA,"Telmatobius bolivianus","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",154334258,2019-09-25,"CR","3.1","A2ace; C2a(i)","A2ace; C2a(i)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"249",NA,4,10,10,8,3200,21,400,NA
"22",NA,"Telmatobius sibiricus","CHORDATA","AMPHIBIA","ANURA","TELMATOBIIDAE",154335028,2019-09-25,"CR","3.1","A2ace; C2a(i)","A2ace; C2a(i)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"3572","249",NA,4,10,10,8,3200,21,400,NA
"23","Axolotl","Ambystoma mexicanum","CHORDATA","AMPHIBIA","CAUDATA","AMBYSTOMATIDAE",53947343,2019-10-23,"CR","3.1","A2abce","A2abce",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"467","50-1000","3",4,10,10,7,2800,23,400,NA
"24","Archey's Frog","Leiopelma archeyi","CHORDATA","AMPHIBIA","ANURA","LEIOPELMATIDAE",66654575,2015-07-21,"CR","3.1","A2ab","A2ab",1,"Stable","No",NA,"No","No","No",NA,"Yes","1376","13881","5000-20000","4",4,10,10,7,2800,23,400,NA
