"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"13",NA,"Zamia nesophila","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243408381,2020-11-26,"CR","3.1","A2acde+4acde; B1ab(i,ii,iii,iv,v)","A2acde+4acde; B1ab(i,ii,iii,iv,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes",NA,"90-100","3000-5000",NA,4,10,10,9,3600,7,400,NA
"14",NA,"Cycas tansachana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243420725,2020-11-13,"CR","3.1","A3cd+4cd; B1ab(i,ii,iii,v)","A3cd+4cd; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,"10","5000-5500","1",4,10,10,9,3600,7,400,NA
"15","Blyde River Cycad","Encephalartos cupidus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243425210,2020-05-07,"CR","3.1","A2acd+4acd; B1ab(ii,iii,v); C1+2a(i,ii)","A2acd+4acd; B1ab(ii,iii,v); C1+2a(i,ii)",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,"Yes","36","20","50","1",4,10,10,9,3600,7,400,NA
"16","Albany Cycad","Encephalartos latifrons","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243428451,2020-06-06,"CR","3.1","A2acd; C1+2a(i)","A2acd; C1+2a(i)",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"561","70","4",4,10,10,9,3600,7,400,NA
"17",NA,"Zamia oreillyi","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",69832636,2020-05-28,"CR","3.1","A2acd+3cd+4acd; C2a(ii)","A2acd+3cd+4acd; C2a(ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes",NA,NA,NA,"200-250","1-2",4,10,10,8,3200,17,400,NA
"18",NA,"Zamia monticola","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243407712,2020-05-28,"CR","3.1","A2cd+4cd","A2cd+4cd",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"20","469","200-250",NA,4,10,10,8,3200,17,400,NA
"19","Middelburg Cycad","Encephalartos middelburgensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243430159,2020-05-13,"CR","3.1","A2acde; C1","A2acde; C1",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes",NA,"915","184-200","4",4,10,10,8,3200,17,400,NA
"20",NA,"Cycas javana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68903080,2020-08-10,"CR","3.1","A2ace+4ace","A2ace+4ace",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"119000","200-500",NA,4,10,10,6,2400,20,400,NA
"21","Bamboo Cycad","Ceratozamia hildae","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243397490,2021-09-23,"CR","3.1","A2acd","A2acd",1,"Decreasing","Yes","Yes","Yes",NA,NA,NA,NA,NA,"694","300-1000","5-10",4,10,10,6,2400,20,400,NA
"22",NA,"Ceratozamia kuesteriana","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243398420,2020-07-09,"CR","3.1","A2cd","A2cd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"340","250-500",NA,4,10,10,6,2400,20,400,NA
"23",NA,"Ceratozamia zoquorum","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243401701,2020-09-11,"CR","3.1","A2acd","A2acd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"3140","650-700",NA,4,10,10,6,2400,20,400,NA
"24","Runde Cycad","Encephalartos concinnus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243424958,2020-04-14,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes",NA,"Yes","Yes","Yes",NA,NA,NA,"4200","210-500","3",4,10,10,6,2400,20,400,NA
"25",NA,"Cycas debaoensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",68899343,2020-02-12,"CR","3.1","A4cd","A4cd",1,"Decreasing","Yes","Yes","No",NA,"Yes",NA,NA,"36","860","1000-3000","3-4",4,10,10,5,2000,25,400,NA
"26",NA,"Zamia purpurea","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243410929,2020-05-18,"CR","3.1","A4cd","A4cd",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,"4696","2000",NA,4,10,10,5,2000,25,400,NA
"27",NA,"Zamia spartea","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243412074,2020-05-20,"CR","3.1","A2ad","A2ad",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"703","2000-2500",NA,4,10,10,5,2000,25,400,NA
"28",NA,"Cycas zambalensis","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",243421546,2020-11-12,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"526",NA,"2",4,10,10,5,2000,25,400,NA
"29","Kaapsehoop Cycad","Encephalartos laevifolius","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243427920,2020-05-08,"CR","3.1","A2acde; C1+2a(i,ii); D","A2acde; C1+2a(i,ii); D",2,"Decreasing","Yes","Yes","Yes","Yes",NA,NA,NA,NA,"100-150","6-11","3",4,5,10,10,2000,25,200,NA
"30","Curran’s Pitogo","Cycas curranii","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","CYCADACEAE",67341354,2020-11-20,"CR","3.1","A2acd+4acd","A2acd+4acd",1,"Decreasing","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"634","2500-5000","3",4,10,10,4,1600,30,400,NA
