"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"15","Nias Hill Myna","Gracula robusta","CHORDATA","AVES","PASSERIFORMES","STURNIDAE",182272272,2020-08-18,"CR","3.1","A2bd+3d+4bd; C2a(ii)","A2bd+3d+4bd; C2a(ii)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No","190","12100","160-265","3",4,10,10,8,3200,8,400,NA
"16","White-winged Duck","Asarcornis scutulata","CHORDATA","AVES","ANSERIFORMES","ANATIDAE",244637841,2024-07-18,"CR","3.1","A2bcde+3bcde+4bcde; C1+2a(i)","A2bcde+3bcde+4bcde; C1+2a(i)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","Unknown",NA,"2620000","150-450","10-30",4,10,10,8,3200,8,400,NA
"17","Philippine Eagle","Pithecophaga jefferyi","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",273773083,2025-06-17,"CR","3.1","A2cd+4cd; C2a(i)","A2cd+4cd; C2a(i)",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"540000-607000","128-924","11-100",4,10,10,8,3200,8,400,NA
"18","Maui Parrotbill","Pseudonestor xanthophrys","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",224743508,2022-12-08,"CR","3.1","B1ab(i,ii,iii,v); C1","B1ab(i,ii,iii,v); C1",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","40","70","105","1",4,10,8,9,2880,18,360,NA
"19","Spoon-billed Sandpiper","Calidris pygmaea","CHORDATA","AVES","CHARADRIIFORMES","SCOLOPACIDAE",154738156,2021-06-23,"CR","3.1","A2abcd; C1+2a(ii)","A2abcd; C1+2a(ii)",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"355000","240-620,490",NA,4,10,8,8,2560,19,320,NA
"20","Masked Finfoot","Heliopais personatus","CHORDATA","AVES","GRUIFORMES","HELIORNITHIDAE",181604713,2020-08-12,"CR","3.1","C1","C1",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"1650000","108-304","7-12",4,10,8,8,2560,19,320,NA
"21","Red-fronted Macaw","Ara rubrogenys","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",196567391,2021-02-11,"CR","3.1","C1+2a(i)","C1+2a(i)",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"27400","134-272","6-10",4,10,8,8,2560,19,320,NA
"22","Bengal Florican","Houbaropsis bengalensis","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",130184896,2018-08-07,"CR","3.1","A3bcd+4abcd","A3bcd+4abcd",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"1550000","250-999",NA,4,10,10,6,2400,22,400,NA
"23","Tristan Albatross","Diomedea dabbenena","CHORDATA","AVES","PROCELLARIIFORMES","DIOMEDEIDAE",132657527,2018-08-07,"CR","3.1","A4ade","A4ade",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","80","54900000","3400-4800","1",4,10,10,6,2400,22,400,NA
"24","White-shouldered Ibis","Pseudibis davisoni","CHORDATA","AVES","PELECANIFORMES","THRESKIORNITHIDAE",134189710,2018-08-17,"CR","3.1","A3cd+4cd","A3cd+4cd",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"1010000","670","11-100",4,10,10,6,2400,22,400,NA
"25","Hooded Grebe","Podiceps gallardoi","CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE",145837361,2019-02-26,"CR","3.1","A2abce+4ace","A2abce+4ace",1,"Stable","No","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"7200","650-800","2-5",4,10,10,6,2400,22,400,NA
"26","Great Green Macaw","Ara ambiguus","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",172908289,2020-08-07,"CR","3.1","A4abcd","A4abcd",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"1100000","500-1000",NA,4,10,10,6,2400,22,400,NA
"27","Lesser Florican","Sypheotides indicus","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",199959007,2021-08-12,"CR","3.1","A2bcd+3bcd+4bcd","A2bcd+3bcd+4bcd",1,"Decreasing","Yes","Yes","Yes","No","Yes","Unknown","No",NA,"520000","356-1228, 730",NA,4,10,10,6,2400,22,400,NA
